"","x"
"1",-0.229986518133071
"2",0.119834736600383
"3",0.0663574378076317
"4",0.0253083684869121
"5",0.366752291309611
"6",0.462462979945809
"7",0.0912429185222565
"8",0.184414849062437
"9",-0.223797747570785
"10",-0.401431672777302
"11",-0.4854256164556
"12",-1.01529682002505
"13",-0.975049374988978
"14",-1.17089913123849
"15",0.294739755739097
"16",1.1445450096256
"17",1.03878994909646
"18",0.882859452631036
"19",0.85692932510078
"20",0.533244770094884
"21",0.256055859708428
"22",0.292251384868436
"23",0.499436312695958
"24",0.278874169319388
"25",-0.212486053399523
"26",-1.08053348125755
"27",-0.694548773706234
"28",-0.340394115560003
"29",-0.576760364005525
"30",-0.676126907841817
"31",-0.752403120901662
"32",0.299929870770908
"33",0.492177698709329
"34",0.243389740484211
"35",0.469199114264134
"36",0.415756140005161
"37",0.259291331588857
"38",1.1544143921867
"39",0.517192213128068
"40",0.64652789733809
"41",0.536345298861043
"42",0.674382277887302
"43",0.842599487179484
"44",0.817769258507159
"45",1.74835322560804
"46",0.713590056997847
"47",0.251905844047046
"48",0.674907798497869
"49",1.37895388936656
"50",0.491049027461885
"51",0.922405173800018
"52",0.848181991788047
"53",1.90565291600877
"54",1.04903228129699
"55",0.799850311467929
"56",1.1197741903111
"57",1.44306493199086
"58",-0.874092284529357
"59",-0.651924176332639
"60",-0.796643992384784
"61",-0.839055773572418
"62",-0.762151260345645
"63",-2.05720864202755
"64",-1.15901915800476
"65",-0.920141146786738
"66",-0.700009532366666
"67",1.27385059555669
"68",0.994972596642876
"69",0.472348066716006
"70",0.411229331005788
"71",0.115769431857668
"72",0.108566532578536
"73",0.0615517801298122
"74",0.217169110279677
"75",0.0482713702416098
"76",-0.774589148374799
"77",-0.615804003071474
"78",-1.26117441734051
"79",-1.85193655699514
"80",-0.67566901352989
"81",-0.721246605665108
"82",-0.627323249489337
"83",-0.816370885476365
"84",-1.48668185897475
"85",-0.750407110838675
"86",-0.677504923854798
"87",-1.07124493965466
"88",-0.624830950067107
"89",-0.793786801659724
"90",-0.891417337095427
"91",-0.911998095222698
"92",-0.579833616894435
"93",-0.983055152182783
"94",0.883393283059364
"95",0.232309526686167
"96",0.438519219206099
"97",0.328961074753998
"98",0.363641987948303
"99",-0.0324139640690281
"100",-0.317675542162241
